			School				Cost				Effect					% Chance to gain									AI value				Right Click Text				
Разрушающий луч	Разрушающий луч	2	 	 	 	x	10	8	8	8	0	3	3	4	5	6	4	6	12	4	6	6	6	8	7	7	15	15	"{Разрушающий луч}

Уменьшает защиту выбранного вражеского отряда на 3 единицы (не ниже 0). Одного и того же врага можно повторно атаковать этим заклинанием.

Действует в течении всего боя и не снимается.
"	"{Разрушающий луч – ""Базовый"" уровень}

Уменьшает защиту выбранного вражеского отряда на 3 единицы (не ниже 0). Одного и того же врага можно повторно атаковать этим заклинанием.

Действует в течении всего боя и не снимается.

Заклинание стоит на 2 очка магии меньше (8 вместо 10), чем обычный ""Разрушающий луч"".
"	"{Разрушающий луч – ""Продвинутый"" уровень}

Уменьшает защиту выбранного вражеского отряда на 4 единицы (не ниже 0). Одного и того же врага можно повторно атаковать этим заклинанием.

Действует в течении всего боя и не снимается.

Действует сильнее, чем ""Разрушающий луч"" базового уровня.
"	"{Разрушающий луч – ""Экспертный"" уровень}

Уменьшает защиту выбранного вражеского отряда на 5 единиц (не ниже 0). Одного и того же врага можно повторно атаковать этим заклинанием.

Действует в течении всего боя и не снимается.

Действует сильнее, чем ""Разрушающий луч"" продвинутого уровня.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Молитва	Молитва	4	 	x	 	 	16	12	12	12	0	2	2	4	4	10	5	5	0	0	0	0	0	5	8	8	16	16	"{Молитва}

Увеличивает атаку, защиту и скорость выбранного дружественного отряда на 2 единицы.

Время действия заклинания напрямую зависит от силы магии героя.
"	"{Молитва – ""Базовый"" уровень}

Увеличивает атаку, защиту и скорость выбранного дружественного отряда на 2 единицы.

Время действия заклинания напрямую зависит от силы магии героя.

Заклинание стоит на 4 очка магии меньше (12 вместо 16), чем обычная ""Молитва"".
"	"{Молитва – ""Продвинутый"" уровень}

Увеличивает атаку, защиту и скорость выбранного дружественного отряда на 4 единицы.

Время действия заклинания напрямую зависит от силы магии героя.

Эффект в два раза сильнее, чем от ""Молитвы"" базового уровня.
"	"{Молитва – ""Экспертный"" уровень}

Увеличивает атаку, защиту и скорость всех дружественных отрядов на 4 единицы.

Время действия заклинания напрямую зависит от силы магии героя.

Эффект в два раза сильнее, чем от ""Молитвы"" базового уровня.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Радость	Радость	3	 	x	 	 	12	9	9	9	0	1	1	2	2	4	4	4	2	4	4	12	2	4	1	1	2	2	"{Радость}

Поднимает боевой дух выбранного дружественного отряда на 1 единицу (не выше +3). Не действует на нежить, бездушных и невнушаемых существ.

Время действия заклинания напрямую зависит от силы магии героя.
"	"{Радость – ""Базовый"" уровень}

Поднимает боевой дух выбранного дружественного отряда на 1 единицу (не выше +3). Не действует на нежить, бездушных и невнушаемых существ.

Время действия заклинания напрямую зависит от силы магии героя.

Заклинание стоит на 3 очка магии меньше (9 вместо 12), чем обычная ""Радость"".
"	"{Радость – ""Продвинутый"" уровень}

Поднимает боевой дух выбранного дружественного отряда на 2 единицы (не выше +3). Не действует на нежить, бездушных и невнушаемых существ.

Время действия заклинания напрямую зависит от силы магии героя.

Эффект в два раза сильнее, чем от ""Радости"" базового уровня.
"	"{Радость – ""Экспертный"" уровень}

Поднимает боевой дух всех дружественных отрядов на 2 единицы (не выше +3). Не действует на нежить, бездушных и невнушаемых существ.

Время действия заклинания напрямую зависит от силы магии героя.

Эффект в два раза сильнее, чем от ""Радости"" базового уровня.
"	 COMBAT_SPELL|CREATURE_TARGET_2|MIND_SPELL
Печаль	Печаль	4	x	 	 	 	16	12	12	12	0	1	1	2	2	5	5	5	5	5	5	0	0	5	1	1	2	2	"{Печаль}

Снижает боевой дух выбранного вражеского отряда на 1 единицу (не ниже -3). Не действует на нежить, бездушных и невнушаемых существ.

Время действия заклинания напрямую зависит от силы магии героя.
"	"{Печаль – ""Базовый"" уровень}

Снижает боевой дух выбранного вражеского отряда на 1 единицу (не ниже -3). Не действует на нежить, бездушных и невнушаемых существ.

Время действия заклинания напрямую зависит от силы магии героя.

Заклинание стоит на 4 очка магии меньше (12 вместо 16), чем обычная ""Печаль"".
"	"{Печаль – ""Продвинутый"" уровень}

Снижает боевой дух выбранного вражеского отряда на 2 единицы (не ниже -3). Не действует на нежить, бездушных и невнушаемых существ.

Время действия заклинания напрямую зависит от силы магии героя.

Эффект в два раза сильнее, чем от ""Печали"" базового уровня.
"	"{Печаль – ""Экспертный"" уровень}

Снижает боевой дух всех вражеских отрядов на 2 единицы (не ниже -3). Не действует на нежить, бездушных и невнушаемых существ.

Время действия заклинания напрямую зависит от силы магии героя.

Эффект в два раза сильнее, чем от ""Печали"" базового уровня.
"	 COMBAT_SPELL|CREATURE_TARGET_2|MIND_SPELL
Удача	Удача	2	 	 	 	x	7	5	5	5	0	1	1	2	2	4	6	4	4	2	2	4	4	2	1	1	2	2	"{Удача}

Увеличивает удачу выбранного дружественного отряда на 1 единицу (не выше +3).

Время действия заклинания напрямую зависит от силы магии героя.
"	"{Удача – ""Базовый"" уровень}

Увеличивает удачу выбранного дружественного отряда на 1 единицу (не выше +3).

Время действия заклинания напрямую зависит от силы магии героя.

Заклинание стоит на 2 очка магии меньше (5 вместо 7), чем обычная ""Удача"".
"	"{Удача – ""Продвинутый"" уровень}

Увеличивает удачу выбранного дружественного отряда на 2 единицы (не выше +3).

Время действия заклинания напрямую зависит от силы магии героя.

Эффект в два раза сильнее, чем от ""Удачи"" базового уровня.
"	"{Удача – ""Экспертный"" уровень}

Увеличивает удачу всех дружественных отрядов на 2 единицы (не выше +3).

Время действия заклинания напрямую зависит от силы магии героя.

Эффект в два раза сильнее, чем от ""Удачи"" базового уровня.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Неудача	Неудача	3	 	 	x	 	12	9	9	9	0	1	1	2	2	4	4	4	6	8	4	4	2	4	1	1	2	2	"{Неудача}

Уменьшает удачу выбранного вражеского отряда на 1 единицу (не ниже -3).

Время действия заклинания напрямую зависит от силы магии героя.
"	"{Неудача – ""Базовый"" уровень}

Уменьшает удачу выбранного вражеского отряда на 1 единицу (не ниже -3).

Время действия заклинания напрямую зависит от силы магии героя.

Заклинание стоит на 3 очка магии меньше (9 вместо 12), чем обычная ""Неудача"".
"	"{Неудача – ""Продвинутый"" уровень}

Уменьшает удачу выбранного вражеского отряда на 2 единицы (не ниже -3).

Время действия заклинания напрямую зависит от силы магии героя.

Эффект в два раза сильнее, чем от ""Неудачи"" базового уровня.
"	"{Неудача – ""Экспертный"" уровень}

Уменьшает удачу всех вражеских отрядов на 2 единицы (не ниже -3).

Время действия заклинания напрямую зависит от силы магии героя.

Эффект в два раза сильнее, чем от ""Неудачи"" базового уровня.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Ускорение	Ускорение	1		 	 	x	6	5	5	5	0	3	3	5	5	5	10	5	5	5	10	5	10	10	5	5	10	10	"{Ускорение}

Увеличивает скорость выбранного дружественного отряда на 3 единицы.

Взаимозаменяемо с ""Замедлением"".

Время действия заклинания напрямую зависит от силы магии героя.
"	"{Ускорение – ""Базовый"" уровень}

Увеличивает скорость выбранного дружественного отряда на 3 единицы.

Взаимозаменяемо с ""Замедлением"".

Время действия заклинания напрямую зависит от силы магии героя.

Заклинание стоит на 1 очко магии меньше (5 вместо 6), чем обычное ""Ускорение"".
"	"{Ускорение – ""Продвинутый"" уровень}

Увеличивает скорость выбранного дружественного отряда на 5 единиц.

Взаимозаменяемо с ""Замедлением"".

Время действия заклинания напрямую зависит от силы магии героя.

Эффект почти в два раза сильнее, чем от ""Ускорения"" базового уровня.
"	"{Ускорение – ""Экспертный"" уровень}

Увеличивает скорость всех дружественных отрядов на 5 единиц.

Взаимозаменяемо с ""Замедлением"".

Время действия заклинания напрямую зависит от силы магии героя.

Эффект почти в два раза сильнее, чем от ""Ускорения"" базового уровня.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Замедление	Замедление	1	x	 	 	 	6	5	5	5	0	75	75	50	50	5	10	10	10	5	5	5	5	10	5	5	15	15	"{Замедление}

Уменьшает скорость выбранного вражеского отряда на 25%. Взаимозаменяемо с ""Ускорением"".

Время действия заклинания напрямую зависит от силы магии героя.
"	"{Замедление – ""Базовый"" уровень}

Уменьшает скорость выбранного вражеского отряда на 25%. Взаимозаменяемо с ""Ускорением"".

Время действия заклинания напрямую зависит от силы магии героя.

Заклинание стоит на 1 очко магии меньше (5 вместо 6), чем обычное ""Замедление"".
"	"{Замедление – ""Продвинутый"" уровень}

Уменьшает скорость выбранного вражеского отряда на 50%. Взаимозаменяемо с ""Ускорением"".

Время действия заклинания напрямую зависит от силы магии героя.

Эффект в два раза сильнее, чем от ""Замедления"" базового уровня.
"	"{Замедление – ""Экспертный"" уровень}

Уменьшает скорость всех вражеских отрядов на 50%. Взаимозаменяемо с ""Ускорением"".

Время действия заклинания напрямую зависит от силы магии героя.

Эффект в два раза сильнее, чем от ""Замедления"" базового уровня.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Палач	Палач	4	 		x	 	16	12	12	12	0	8	8	8	8	5	5	5	5	5	5	0	0	5	1	1	1	1	"{Палач}

Увеличивает атаку выбранного дружественного отряда при схватке с костяными, зелеными, красными, призрачными, золотыми, черными, сказочными, ржавыми, кристальными и лазурными драконами, чудищами и древними чудищами, гидрами и гидрами хаоса, жар-птицами и фениксами на 8 единиц.

Время действия заклинания напрямую зависит от силы магии героя.
"	"{Палач – ""Базовый"" уровень}

Увеличивает атаку выбранного дружественного отряда при схватке с костяными, зелеными, красными, призрачными, золотыми, черными, сказочными, ржавыми, кристальными и лазурными драконами, чудищами и древними чудищами, гидрами и гидрами хаоса, жар-птицами и фениксами на 8 единиц.

Время действия заклинания напрямую зависит от силы магии героя.

Заклинание стоит на 4 очка магии меньше (12 вместо 16), чем обычный ""Палач"".
"	"{Палач – ""Продвинутый"" уровень}

Увеличивает атаку выбранного дружественного отряда при схватке с костяными, зелеными, красными, призрачными, золотыми, черными, сказочными, ржавыми, кристальными и лазурными драконами, чудищами и древними чудищами, гидрами и гидрами хаоса, жар-птицами и фениксами, дьяволами и архидьяволами, ангелами и архангелами на 8 единиц.

Время действия заклинания напрямую зависит от силы магии героя.
"	"{Палач – ""Экспертный"" уровень}

Увеличивает атаку выбранного дружественного отряда при схватке с костяными, зелеными, красными, призрачными, золотыми, черными, сказочными, ржавыми, кристальными и лазурными драконами, чудищами и древними чудищами, гидрами и гидрами хаоса, жар-птицами и фениксами, дьяволами и архидьяволами, ангелами и архангелами, гигантами и титанами на 8 единиц.

Время действия заклинания напрямую зависит от силы магии героя.
"	 COMBAT_SPELL|CREATURE_TARGET
Бешенство	Бешенство	4	 	 	x	 	16	12	12	12	0	100	100	150	200	5	5	5	5	5	5	0	0	5	10	10	20	30	"{Бешенство}

Выбранный дружественный отряд намеренно понижает свою защиту до 0, чтобы увеличить ярость своей атаки на отнятое количество единиц защиты (на 100% защиты). Не действует на нежить, бездушных и невнушаемых существ.

Заклинание действует до начала хода целевого отряда в следующем раунде.
"	"{Бешенство – ""Базовый"" уровень}

Выбранный дружественный отряд намеренно понижает свою защиту до 0, чтобы увеличить ярость своей атаки на отнятое количество единиц защиты (на 100% защиты). Не действует на нежить, бездушных и невнушаемых существ.

Заклинание действует до начала хода целевого отряда в следующем раунде.

Заклинание стоит на 4 очка магии меньше (12 вместо 16), чем обычное ""Бешенство"".
"	"{Бешенство – ""Продвинутый"" уровень}

Выбранный дружественный отряд намеренно понижает свою защиту до 0, чтобы увеличить ярость своей атаки на полуторное количество единиц защиты (на 150% защиты). Не действует на нежить, бездушных и невнушаемых существ.

Заклинание действует до начала хода целевого отряда в следующем раунде.

Прирост силы атаки на 50% больше, чем от ""Бешенства"" базового уровня.
"	"{Бешенство – ""Экспертный"" уровень}

Выбранный дружественный отряд намеренно понижает свою защиту до 0, чтобы увеличить ярость своей атаки на удвоенное количество единиц защиты (на 200% защиты). Не действует на нежить, бездушных и невнушаемых существ.

Заклинание действует до начала хода целевого отряда в следующем раунде.

Прирост силы атаки в 2 раза больше, чем от ""Бешенства"" базового уровня.
"	 COMBAT_SPELL|CREATURE_TARGET|MIND_SPELL
Молния титана	Молния титана	5				x	0	0	0	0	0	600	600	600	600	0	0	0	0	0	0	0	0	0	75	75	75	75	"{Молния титана}

Возникает в книге заклинаний героя, экипированного сборным артефактом ""Гром титана"". Наносит выбранному вражескому отряду фиксированный урон магией воздуха в 600 единиц. На урон заклинания не влияют навыки ""Магия Воздуха"" и """Сила магии""", но влияет навык ""Волшебство"" и наличие ""Сферы небесного свода"".
Максимально возможный урон составляет 1035 единиц
(для специалиста по ""Волшебству"" – 1764 единицы).
Не требует затрат очков магии.
"	"{Молния титана}

Возникает в книге заклинаний героя, экипированного сборным артефактом ""Гром титана"". Наносит выбранному вражескому отряду фиксированный урон магией воздуха в 600 единиц. На урон заклинания не влияют навыки ""Магия Воздуха"" и """Сила магии""", но влияет навык ""Волшебство"" и наличие ""Сферы небесного свода"".
Максимально возможный урон составляет 1035 единиц
(для специалиста по ""Волшебству"" – 1764 единицы).
Не требует затрат очков магии.
"	"{Молния титана}

Возникает в книге заклинаний героя, экипированного сборным артефактом ""Гром титана"". Наносит выбранному вражескому отряду фиксированный урон магией воздуха в 600 единиц. На урон заклинания не влияют навыки ""Магия Воздуха"" и """Сила магии""", но влияет навык ""Волшебство"" и наличие ""Сферы небесного свода"".
Максимально возможный урон составляет 1035 единиц
(для специалиста по ""Волшебству"" – 1764 единицы).
Не требует затрат очков магии.
"	"{Молния титана}

Возникает в книге заклинаний героя, экипированного сборным артефактом ""Гром титана"". Наносит выбранному вражескому отряду фиксированный урон магией воздуха в 600 единиц. На урон заклинания не влияют навыки ""Магия Воздуха"" и """Сила магии""", но влияет навык ""Волшебство"" и наличие ""Сферы небесного свода"".
Максимально возможный урон составляет 1035 единиц
(для специалиста по ""Волшебству"" – 1764 единицы).
Не требует затрат очков магии.
"	
Контрудар	Контрудар	4	 	 	 	x	24	20	20	20	0	1	1	2	2	5	10	5	5	5	5	0	0	5	20	20	30	30	"{Контрудар}

Выбранный дружественный отряд будет отвечать на одну дополнительную вражескую атаку в каждом раунде боя.

Время действия заклинания напрямую зависит от силы магии героя.
"	"{Контрудар – ""Базовый"" уровень}

Выбранный дружественный отряд будет отвечать на одну дополнительную вражескую атаку в каждом раунде боя.

Время действия заклинания напрямую зависит от силы магии героя.

Заклинание стоит на 4 очка магии меньше (20 вместо 24), чем обычный ""Контрудар"".
"	"{Контрудар – ""Продвинутый"" уровень}

Выбранный дружественный отряд будет отвечать на две дополнительные вражеские атаки в каждом раунде боя.

Время действия заклинания напрямую зависит от силы магии героя.
"	"{Контрудар – ""Экспертный"" уровень}

Все дружественные отряды будут отвечать на две дополнительные вражеские атаки в каждом раунде боя.

Время действия заклинания напрямую зависит от силы магии героя.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Берсерк	Берсерк	4	 	 	x	 	20	16	16	16	0	0	0	1	2	5	5	5	5	10	5	0	0	5	60	60	60	60	"{Берсерк}

Выбранный дружественный отряд будет случайным образом атаковать один из ближайших к нему отрядов, независимо от того, дружественный он или вражеский. Не действует на нежить, бездушных и невнушаемых существ. Взаимозаменяем с ""Гипнозом"".

Заклинание снимается, только когда цель совершит атаку.
"	"{Берсерк – ""Базовый"" уровень}

Выбранный дружественный отряд будет случайным образом атаковать один из ближайших к нему отрядов, независимо от того, дружественный он или вражеский. Не действует на нежить, бездушных и невнушаемых существ. Взаимозаменяем с ""Гипнозом"".

Заклинание снимается, только когда цель совершит атаку.

Заклинание стоит на 4 очка магии меньше (16 вместо 20), чем обычный ""Берсерк"".
"	"{Берсерк – ""Продвинутый"" уровень}

Любые отряды в области из 7 клеток (диаметр – 3 клетки) будут случайным образом атаковать один из ближайших к ним отрядов, независимо от того, дружественный он или вражеский. Не действует на нежить, бездушных и невнушаемых существ. Взаимозаменяем с ""Гипнозом"".

Заклинание снимается, только когда цель совершит атаку.

Область действия на 6 клеток больше, чем у ""Берсерка"" базового уровня.
"	"{Берсерк – ""Экспертный"" уровень}

Любые отряды в области из 19 клеток (диаметр – 5 клеток) будут случайным образом атаковать один из ближайших к ним отрядов, независимо от того, дружественный он или вражеский. Не действует на нежить, бездушных и невнушаемых существ. Взаимозаменяем с ""Гипнозом"".

Заклинание снимается, только когда цель совершит атаку.

Область действия на 18 клеток больше, чем у ""Берсерка"" базового уровня.
"	 COMBAT_SPELL|CREATURE_TARGET|MIND_SPELL
Гипноз	Гипноз	3	 	 	 	x	18	15	15	15	25	10	10	20	50	4	4	8	6	0	8	4	4	12	25	25	50	100	"{Гипноз}

Временно дает вам контроль над выбранным вражеским отрядом со здоровьем, pавным не более чем ""Силе магии"" х 25 + 10. Жертва ""Гипноза"" не будет отвечать на атаки войск героя. Не действует на нежить, бездушных и невнушаемых существ. Взаимозаменяем с ""Берсерком"".

Время действия заклинания напрямую зависит от силы магии героя.
"	"{Гипноз – ""Базовый"" уровень}

Временно дает вам контроль над выбранным вражеским отрядом со здоровьем, pавным не более чем ""Силе магии"" х 25 + 10. Жертва ""Гипноза"" не будет отвечать на атаки войск героя. Не действует на нежить, бездушных и невнушаемых существ. Взаимозаменяем с ""Берсерком"".

Время действия заклинания напрямую зависит от силы магии героя.

Заклинание стоит на 3 очка магии меньше (15 вместо 18), чем обычный ""Гипноз"".
"	"{Гипноз – ""Продвинутый"" уровень}

Временно дает вам контроль над выбранным вражеским отрядом со здоровьем, pавным не более чем ""Силе магии"" х 25 + 20. Жертва ""Гипноза"" не будет отвечать на атаки войск героя. Не действует на нежить, бездушных и невнушаемых существ. Взаимозаменяем с ""Берсерком"".

Время действия заклинания напрямую зависит от силы магии героя.

Позволяет контролировать отряд, суммарное здоровье которого на 10 единиц выше, чем при ""Гипнозе"" базового уровня.
"	"{Гипноз – ""Экспертный"" уровень}

Временно дает вам контроль над выбранным вражеским отрядом со здоровьем, pавным не более чем ""Силе магии"" х 25 + 50. Жертва ""Гипноза"" не будет отвечать на атаки войск героя. Не действует на нежить, бездушных и невнушаемых существ. Взаимозаменяем с ""Берсерком"".

Время действия заклинания напрямую зависит от силы магии героя.

Позволяет контролировать отряд, суммарное здоровье которого на 40 единиц выше, чем при ""Гипнозе"" базового уровня.
"	 COMBAT_SPELL|CREATURE_TARGET|MIND_SPELL
Забывчивость	Забывчивость	3	 	x	 	 	12	9	9	9	0	0	0	0	0	8	8	4	4	4	4	4	4	8	1	1	1	1	"{Забывчивость}

Половина выбранного вражеского отряда забывает производить свою атаку на расстоянии (урон от атаки уменьшается на 50%). Не действует на нежить, бездушных и невнушаемых существ.

Время действия заклинания напрямую зависит от силы магии героя.
"	"{Забывчивость – ""Базовый"" уровень}

Половина выбранного вражеского отряда забывает производить свою атаку на расстоянии (урон от атаки уменьшается на 50%). Не действует на нежить, бездушных и невнушаемых существ.

Время действия заклинания напрямую зависит от силы магии героя.

Заклинание стоит на 3 очка магии меньше (9 вместо 12), чем обычная ""Забывчивость"".
"	"{Забывчивость – ""Продвинутый"" уровень}

Весь выбранный вражеский отряд полностью забывает производить свою атаку на расстоянии (может атаковать только в ближнем бою). Не действует на нежить, бездушных и невнушаемых существ.

Время действия заклинания напрямую зависит от силы магии героя.
"	"{Забывчивость – ""Экспертный"" уровень}

Все вражеские отряды полностью забывают производить атаку на расстоянии (могут атаковать только в ближнем бою). Не действует на нежить, бездушных и невнушаемых существ.

Время действия заклинания напрямую зависит от силы магии героя.
"	 COMBAT_SPELL|CREATURE_TARGET|MIND_SPELL
Слепота	Слепота	2	 	 	x	 	10	8	8	8	0	50	50	25	0	4	6	2	12	4	4	4	6	8	50	50	50	50	"{Слепота}

Ослепляет выбранный вражеский отряд так, что он становится неспособен двигаться и атаковать, а при нападении на него отвечает вполсилы, после чего заклинание снимается, и отряд получает право хода.
"	"{Слепота – ""Базовый"" уровень}

Ослепляет выбранный вражеский отряд так, что он становится неспособен двигаться и атаковать, а при нападении на него отвечает вполсилы, после чего заклинание снимается, и отряд получает право хода.

Заклинание стоит на 2 очка магии меньше (8 вместо 10), чем обычная ""Слепота"".
"	"{Слепота – ""Продвинутый"" уровень}

Ослепляет выбранный вражеский отряд так, что он становится неспособен двигаться и атаковать, а при нападении на него отвечает в четверть полной силы, после чего заклинание снимается, и отряд получает право хода.
"	"{Слепота – ""Экспертный"" уровень}

Ослепляет выбранный вражеский отряд так, что он становится неспособен двигаться и атаковать, а при нападении на него не отвечает, после чего заклинание снимается, и отряд получает право хода.
"	 COMBAT_SPELL|CREATURE_TARGET
Телепортация	Телепортация	3	 	x	 	 	15	12	6	3	0	0	0	0	0	8	8	8	8	8	8	8	10	8	20	20	20	20	"{Телепортация}

Телепортирует выбранный дружественный отряд в любую незанятую точку поля боя. Отряд нельзя телепортировать через рвы и стены. Телепортация отменяет эффект связывающих пут дендроидов.
"	"{Телепортация – ""Базовый"" уровень}

Телепортирует выбранный дружественный отряд в любую незанятую точку поля боя. Телепортация отменяет эффект связывающих пут дендроидов.

Отряд нельзя телепортировать через рвы и стены.

Заклинание стоит на 3 очка магии меньше (12 вместо 15), чем обычная ""Телепортация"".
"	"{Телепортация – ""Продвинутый"" уровень}

Телепортирует выбранный дружественный отряд в любую незанятую точку поля боя. Телепортация отменяет эффект связывающих пут дендроидов.

Отряд нельзя телепортировать через стены.

Заклинание стоит на 9 очков магии меньше (6 вместо 15), чем обычная ""Телепортация"".
"	"{Телепортация – ""Экспертный"" уровень}

Телепортирует выбранный дружественный отряд в любую незанятую точку поля боя. Телепортация отменяет эффект связывающих пут дендроидов.

Заклинание стоит на 12 очков магии меньше (3 вместо 15), чем обычная ""Телепортация"".
"	 COMBAT_SPELL|CREATURE_TARGET
Устранение преград	Устранение преград	2	 	x	 	 	7	5	5	5	0	0	0	0	0	4	4	6	4	4	4	4	4	4	1	1	1	1	"{Устранение преград}

Убирает выбранное героем нормальное препятствие (деревья, камни, и т.п.) с поля боя.
"	"{Устранение преград – ""Базовый"" уровень}

Убирает выбранное героем нормальное препятствие (деревья, камни, и т.п.) с поля боя.

Заклинание стоит на 2 очка магии меньше (5 вместо 7), чем обычное ""Устранение преград"".
"	"{Устранение преград – ""Продвинутый"" уровень}

Убирает выбранное героем нормальное препятствие (деревья, камни, и т.п.) или стену огня с поля боя.
"	"{Устранение преград – ""Экспертный"" уровень}

Убирает выбранное героем любое нормальное или магическое препятствие (деревья, камни, и т.п.) с поля боя.
"	 COMBAT_SPELL|OBSTACLE_TARGET
Клон	Клон	4	 	x	 	 	24	20	20	20	0	5	5	6	7	5	5	10	5	5	5	0	0	10	20	20	40	50	"{Клон}

Создает копию выбранного дружественного отряда существ 1-5 уровня (без каких-либо дополнительных заклинаний, если они были у целевого отряда). Клон имеет все способности отряда-прототипа, кроме огненного щита султана ифритов. У каждого отряда может быть только один клон. Клон исчезает если он атакован (независимо от полученного урона) или после гибели отряда-прототипа, иначе время ""жизни"" клона зависит от силы магии героя.

Заклинание позволяет копировать существ 1-5 уровней.
"	"{Клон – ""Базовый"" уровень}

Создает копию выбранного дружественного отряда существ 1-5 уровня (без каких-либо дополнительных заклинаний, если они были у целевого отряда). Клон имеет все способности отряда-прототипа, кроме огненного щита султана ифритов. У каждого отряда может быть только один клон. Клон исчезает если он атакован (независимо от полученного урона) или после гибели отряда-прототипа, иначе время ""жизни"" клона зависит от силы магии героя.

Заклинание позволяет копировать существ 1-5 уровней.

Заклинание стоит на 4 очка магии меньше (20 вместо 24), чем обычный ""Клон"".
"	"{Клон – ""Продвинутый"" уровень}

Создает копию выбранного дружественного отряда существ 1-6 уровня (без каких-либо дополнительных заклинаний, если они были у целевого отряда). Клон имеет все способности отряда-прототипа, кроме огненного щита султана ифритов. У каждого отряда может быть только один клон. Клон исчезает если он атакован (независимо от полученного урона) или после гибели отряда-прототипа, иначе время ""жизни"" клона зависит от силы магии героя.

Заклинание позволяет копировать существ 1-6 уровней.
"	"{Клон – ""Экспертный"" уровень}

Создает копию выбранного дружественного отряда существ любого уровня (без каких-либо дополнительных заклинаний, если они были у целевого отряда). Клон имеет все способности отряда-прототипа, кроме огненного щита султана ифритов. У каждого отряда может быть только один клон. Клон исчезает если он атакован (независимо от полученного урона) или после гибели отряда-прототипа, иначе время ""жизни"" клона зависит от силы магии героя.

Заклинание позволяет копировать существ любого уровня.
"	 COMBAT_SPELL|CREATURE_TARGET
Элементаль Огня	Элементаль Огня	5			x		25	20	20	20	0	2	2	3	4	0	0	0	16	0	12	0	0	12	50	50	100	150	"{Элементаль Огня}

Позволяет призвать на время боя элементалей огня. Во время действия заклинания нельзя призвать элементалей других типов.

Количество призываемых элементалей:
""Сила магии"" х 2.
"	"{Элементаль Огня – ""Базовый"" уровень}

Позволяет призвать на время боя элементалей огня. Во время действия заклинания нельзя призвать элементалей других типов.

Количество призываемых элементалей:
""Сила магии"" х 2.

Заклинание стоит на 5 очков магии меньше (20 вместо 25), чем обычный ""Элементаль Огня"".
"	"{Элементаль Огня – ""Продвинутый"" уровень}

Позволяет призвать на время боя элементалей огня. Во время действия заклинания нельзя призвать элементалей других типов.

Количество призываемых элементалей:
""Сила магии"" х 3.

Призывает приблизительно в полтора раза больше элементалей, чем ""Элементаль Огня"" базового уровня.
"	"{Элементаль Огня – ""Экспертный"" уровень}

Позволяет призвать на время боя элементалей огня. Во время действия заклинания нельзя призвать элементалей других типов.

Количество призываемых элементалей:
""Сила магии"" х 4.

Призывает приблизительно в два раза больше элементалей, чем ""Элементаль Огня"" базового уровня.
"	 COMBAT_SPELL
Элементаль Земли	Элементаль Земли	5	x				25	20	20	20	0	2	2	3	4	0	16	14	16	16	12	0	0	12	50	50	100	150	"{Элементаль Земли}

Позволяет призвать на время боя элементалей земли. Во время действия заклинания нельзя призвать элементалей других типов.

Количество призываемых элементалей:
""Сила магии"" х 2.
"	"{Элементаль Земли – ""Базовый"" уровень}

Позволяет призвать на время боя элементалей земли. Во время действия заклинания нельзя призвать элементалей других типов.

Количество призываемых элементалей:
""Сила магии"" х 2.

Заклинание стоит на 5 очков магии меньше (20 вместо 25), чем обычный ""Элементаль Земли"".
"	"{Элементаль Земли – ""Продвинутый"" уровень}

Позволяет призвать на время боя элементалей земли. Во время действия заклинания нельзя призвать элементалей других типов.

Количество призываемых элементалей:
""Сила магии"" х 3.

Призывает приблизительно в полтора раза больше элементалей, чем ""Элементаль Земли"" базового уровня.
"	"{Элементаль Земли – ""Экспертный"" уровень}

Позволяет призвать на время боя элементалей земли. Во время действия заклинания нельзя призвать элементалей других типов.

Количество призываемых элементалей:
""Сила магии"" х 4.

Призывает приблизительно в два раза больше элементалей, чем ""Элементаль Земли"" базового уровня.
"	 COMBAT_SPELL
Элементаль Воды	Элементаль Воды	5		x			25	20	20	20	0	2	2	3	4	0	16	14	0	0	12	0	0	12	50	50	100	150	"{Элементаль Воды}

Позволяет призвать на время боя элементалей воды. Во время действия заклинания нельзя призвать элементалей других типов.

Количество призываемых элементалей:
""Сила магии"" х 2.
"	"{Элементаль Воды – ""Базовый"" уровень}

Позволяет призвать на время боя элементалей воды. Во время действия заклинания нельзя призвать элементалей других типов.

Количество призываемых элементалей:
""Сила магии"" х 2.

Заклинание стоит на 5 очков магии меньше (20 вместо 25), чем обычный ""Элементаль Воды"".
"	"{Элементаль Воды – ""Продвинутый"" уровень}

Позволяет призвать на время боя элементалей воды. Во время действия заклинания нельзя призвать элементалей других типов.

Количество призываемых элементалей:
""Сила магии"" х 3.

Призывает приблизительно в полтора раза больше элементалей, чем ""Элементаль Воды"" базового уровня.
"	"{Элементаль Воды – ""Экспертный"" уровень}

